Name,Character,Instagram,Twitter,Facebook,Snapchat,Vine,Image_URL,side,unique_ID
Star Wars,The Force Awakens,starwars,starwars,starwars,,starwars,star-wars.jpg,film,star-wars
John Boyega,Finn,john_boyega,JohnBoyega,johnboyega,Jboyega,1091442200757379072,john-boyega.jpg,rebel,john-boyega
Daisey Ridley,Rey,daisyridley,,DaisyRidleyOfficial,,,daisey-ridley.jpg,rebel,daisey-ridley
Andy Serkis,Supreme Leader Snoke,,andyserkis,Andy-Serkis-180115459433,,,andy-serkis.jpg,empire,andy-serkis
Simon Pegg,Unknown,thesimonpegg,simonpegg,officialsimonpegg,,1074434183990214656,simon-pegg.jpg,question-circle,simon-pegg
Pip Andersen,Unknown,pip_andersen,piptrix,pipandersenofficial,pipandersen,,pip-andersen.jpg,empire,pip-andersen
Anthony Daniels,C-3PO,,ADaniels3PO,,,,anthony-daniels.jpg,rebel,anthony-daniels
Oscar Isaac,Poe Dameron,,realOscarIsaac,,,,oscar-isaac.jpg,empire,oscar-isaac
Billie Lourd,Unknown,praisethelourd,billielourd,billiethelourd,,947307669214121984,billie-lourd.jpg,rebel,billie-lourd
Mark Hamill,Luke Skywalker,hamillhimself,HamillHimself,HamillHimself,,,mark-hamill.jpg,rebel,mark-hamill
Greg Grunberg,Unknown,greggrunberg,greggrunberg,greggrunbergofficial,GregGrunberg,931678785026285568,greg-grunberg.jpg,rebel,greg-grunberg
Carrie Fisher,Princess Leia ,,carrieffisher,carrieffisher,,,carrie-fisher.jpg,rebel,carrie-fisher
Peter Mayhew,Chewbacca,THEWOOKIEEROARS,TheWookieeRoars,thewookieeroars,,,peter-mayhew.jpg,rebel,peter-mayhew
Christina Chong,Unknown,chrissychong,ChrissyChong,MsChrissyChong,,,christina-chong.jpg,rebel,christina-chong
Gwendoline Christie,Captain Phasma,,lovegwendoline,,,,gwendoline-christie.jpg,empire,gwendoline-christie
Jessica Henwick,Jessika Pava,jhenwick,JHenwick,,,,jessica-henwick.jpg,rebel,jessica-henwick
Domhnall Gleeson,General Hux,domhnall.gleeson,,,,,domhnall-gleeson.jpg,rebel,domhnall-gleeson
Kenny Baker,R2-D2,,actorkennybaker,,,,kenny-baker.jpg,rebel,kenny-baker
Kiran Shah,Teedo,,littlekiranshah,,,,kiran-shah.jpg,rebel,kiran-shah
Lupita Nyong'o,Maz Kanata,LUPITANYONGO,Lupita_Nyongo,LupitaNyongo,,,lupita-nyongo.jpg,empire,lupita-nyongo
Maisie Richardson-Sellers,Korr Sella,maisiersellers,maisie_rs,,,,maisie-richardson-sellers.jpg,rebel,maisie-richardson-sellers
Mark Stanley,Clan Leader,,MarkStanley12,,,,mark-stanley.jpg,empire,mark-stanley
Miltos Yerolemou,Unknown,,miltosyerolemou,,,,miltos-yerolemou.jpg,rebel,miltos-yerolemou
Warwick Davis,Unknown,warwickdavis,WarwickADavis,warwickadavis,,,warwick-davis.jpg,rebel,warwick-davis
Iko Uwais,Razoo Quin-Fee,iko.uwais,iko_uwais,,,,iko-uwais.jpg,question-circle,iko-uwais
Yayan Ruhian,Yayan Ruhian	,yayanruhian,yayanruhian,,,,yayan-ruhian.jpg,question-circle,yayan-ruhian
